Date,Time,Temperature,Humidity
09/02/2026,16:52:09,29.3,32
09/02/2026,16:52:19,28.6,33
09/02/2026,16:52:30,28.6,33
09/02/2026,16:52:41,28.6,34
09/02/2026,16:53:11,28,33
09/02/2026,16:53:27,28.5,33
09/02/2026,16:53:50,28.6,33
09/02/2026,16:54:03,28.3,34
09/02/2026,16:54:14,28.1,33
09/02/2026,16:54:25,28.1,33
09/02/2026,16:54:41,28.3,33
09/02/2026,16:55:18,28.2,33
09/02/2026,16:55:29,28.2,33
09/02/2026,16:55:40,28,33
09/02/2026,16:55:54,28.9,33
09/02/2026,16:56:06,28.2,34
09/02/2026,16:56:16,28,34
09/02/2026,16:56:26,28.5,34
09/02/2026,16:56:59,28.6,34
09/02/2026,16:57:20,28.2,33
09/02/2026,16:57:34,28,33
09/02/2026,16:57:48,28.6,34
09/02/2026,16:57:59,28.8,34
09/02/2026,16:58:09,28.9,33
09/02/2026,16:58:23,28.6,34
09/02/2026,16:58:49,28,34
09/02/2026,16:59:40,28.2,41
09/02/2026,16:59:51,28.8,39
09/02/2026,17:00:08,28,38
09/02/2026,17:00:23,28,38
09/02/2026,17:33:04,25,49
09/02/2026,17:33:16,24.6,49
09/02/2026,17:33:27,24.6,50
09/02/2026,17:33:38,24.5,50
09/02/2026,17:33:49,24.5,49
09/02/2026,17:34:09,24.5,50
09/02/2026,17:34:25,24.5,50
09/02/2026,17:34:36,28,46
09/02/2026,17:34:47,30.2,42
09/02/2026,17:34:58,30.9,40
